customer_id,recency_days,frequency,monetary,avg_basket_size
164,70,8,156.88,2.51
165,66,5,223.94,3.5
166,238,4,622.62,2.89
167,9,21,141.02,4.74
168,76,7,757.2,2.31
169,144,7,335.39,2.58
170,2,19,1255.42,4.48
171,18,16,1217.03,4.54
172,21,14,1254.97,4.49
173,11,10,610.15,3.78
174,18,1,260.12,1.65
175,20,8,1769.89,4.2
176,92,0,480.0,3.34
177,35,13,1495.61,5.11
178,3,19,1286.92,4.23
179,6,18,710.81,5.37
180,92,7,500.25,1.15
181,208,5,1013.04,1.32
182,13,25,1322.84,5.5
183,10,13,212.94,4.31
184,24,2,110.91,1.04
185,0,19,1719.2,4.41
186,173,7,587.54,1.68
187,177,3,627.58,1.38
188,99,1,821.2,2.24
189,4,22,1766.61,4.57
190,104,0,431.24,2.54
191,44,0,204.94,1.46
192,12,16,718.64,4.81
193,77,7,522.91,2.72
194,109,9,188.61,2.53
195,7,18,1742.75,4.79
196,16,16,1276.0,5.54
197,18,5,104.61,1.08
198,20,3,199.86,1.05
199,97,8,544.26,2.82
200,197,4,704.8,1.37
201,131,8,497.79,3.15
202,148,2,692.1,1.91
203,8,15,1846.21,4.77
204,33,0,234.59,1.86
205,128,10,344.28,3.0
206,10,9,1802.0,4.11
207,11,23,1681.72,4.37
208,8,20,853.07,4.88
209,22,2,51.05,1.55
210,63,1,696.75,2.37
211,56,2,322.88,1.7
212,13,4,1343.14,4.78
213,0,29,1343.22,5.34
214,25,1,157.33,1
215,0,7,1277.77,4.4
216,56,10,334.19,2.04
217,8,20,2042.5,4.88
218,11,16,1311.94,4.86
219,107,0,291.41,2.49
220,10,19,1065.78,4.3
221,0,16,1864.83,4.28
222,10,14,1221.08,4.44
223,56,6,328.03,3.25
224,70,8,71.46,2.38
225,0,5,1032.36,5.47
226,192,4,807.77,1.75
227,246,2,436.47,2.0
228,19,3,154.75,1
229,13,28,1373.09,4.22
230,102,8,464.89,2.85
231,24,1,140.3,1.23
232,179,6,902.18,2.31
233,10,11,873.27,4.03
234,272,0,563.92,2.53
235,112,9,55.9,3.34
236,2,7,1397.26,4.47
237,66,13,280.93,1.97
238,76,4,333.11,1.79
239,5,0,190.96,2.09
240,13,5,1468.02,4.35
241,150,4,758.94,3.55
242,94,13,278.19,2.02
243,21,3,244.85,1.56
244,177,1,443.04,2.2
245,9,3,153.37,1
246,27,2,169.8,1.21
247,23,19,1782.4,4.91
248,201,1,555.6,1.98
249,94,2,437.63,1.79
250,29,0,283.96,1.66
251,93,8,319.24,2.73
252,14,20,1865.47,4.51
253,8,10,1948.59,5.78
254,81,4,237.94,2.88
255,18,19,1474.95,3.58
256,67,1,541.91,1.53
257,49,9,208.94,1.46
258,13,2,126.92,1.9
259,20,0,28.25,1.26
260,19,23,1240.85,4.75
261,14,18,1215.2,4.63
262,0,12,1596.92,4.04
263,106,7,393.36,2.51
264,182,1,672.05,1.38
265,59,4,413.0,3.06
266,198,2,497.99,3.06
267,4,16,1099.66,3.81
268,8,10,1027.43,5.57
269,72,11,457.93,3.01
270,0,5,1316.93,4.37
271,117,4,693.98,2.39
272,259,5,606.71,2.5
273,3,33,1348.66,4.76
274,13,16,1234.62,4.84
275,15,2,187.58,1.09
276,0,3,193.68,1.65
277,8,31,994.01,4.49
278,223,1,320.99,2.26
279,128,5,745.54,2.48
280,79,10,216.94,2.02
281,0,21,1604.05,4.57
282,23,1,229.55,1.91
283,8,16,1148.38,4.6
284,6,9,1911.13,3.58
285,23,1,93.69,1.58
286,37,4,71.88,2.26
287,119,5,615.1,1
288,9,6,1057.4,4.63
289,0,26,1124.18,4.77
290,5,2,98.77,1.64
291,14,8,1420.51,5.21
292,53,3,630.61,1.5
293,6,15,1522.85,4.43
294,169,6,736.71,2.12
295,95,4,319.1,2.54
296,18,37,1274.33,4.92
297,30,33,1339.05,3.15
298,95,4,398.26,2.92
299,15,28,1336.21,4.5
300,19,6,1308.29,3.54
301,60,5,258.74,2.28
302,9,26,1531.38,4.67
303,0,31,564.79,4.59
304,11,1,105.65,1.83
305,31,0,139.62,1.83
306,5,15,1772.93,4.52
307,13,28,1091.16,4.25
308,26,5,213.87,2.05
309,18,0,213.31,1
310,26,2,70.28,1.66
311,9,11,871.9,4.61
312,76,11,206.15,1.96
313,8,26,890.33,3.99
314,0,21,1469.51,4.76
315,127,7,341.3,2.64
316,14,24,1551.0,4.37
317,6,8,1714.44,4.56
318,16,13,1376.13,5.19
319,231,6,558.59,1.33
320,199,0,554.28,1.88
321,152,2,523.12,1.47
322,113,1,879.95,1.58
323,17,0,81.8,1
324,10,12,864.71,4.54
325,21,0,215.31,1.26
326,232,3,487.79,1
327,11,7,647.22,4.24
328,112,10,205.1,1.88
329,109,0,471.08,2.75
330,140,5,242.54,3.39
331,138,1,809.71,1.29
332,52,7,261.79,1.86
333,16,16,1270.54,4.5
334,15,15,1158.14,5.55
335,4,9,1798.45,4.09
336,9,24,1621.98,4.5
337,4,29,1784.45,4.3
338,6,27,1181.97,4.54
339,176,5,620.71,1.72
340,187,1,722.46,1.63
341,155,8,341.26,2.52
342,22,17,1335.74,3.41
343,6,25,2209.1,3.79
344,20,17,1338.45,4.73
345,1,16,1003.66,5.85
346,143,7,607.51,2.63
347,12,42,1012.33,4.0
348,13,0,125.43,1.75
349,15,23,2057.98,4.56
350,10,24,1098.54,4.52
351,78,7,576.02,3.14
352,156,7,1001.89,2.36
353,84,6,137.4,3.01
354,190,5,823.77,2.28
355,0,23,1815.82,4.09
356,141,13,445.25,1.98
357,63,16,224.48,3.72
358,137,4,440.67,2.72
359,33,0,208.28,1.63
360,12,22,977.19,4.44
361,0,27,796.95,3.93
362,154,8,418.3,2.72
363,20,0,47.15,1.64
364,11,22,1491.43,4.61
365,118,6,263.83,2.75
366,70,7,564.47,1.58
367,4,19,1133.83,4.07
368,6,27,891.14,4.49
369,0,2,43.31,1.9
370,59,3,398.72,1.58
371,5,20,2065.02,4.62
372,9,19,2050.13,4.63
373,0,22,1971.48,3.99
374,15,17,847.28,4.08
375,18,11,1340.21,4.18
376,79,11,340.98,1.97
377,0,35,1127.43,3.93
378,154,2,685.44,2.13
379,47,0,316.11,1.19
380,56,7,231.46,2.6
381,14,1,226.38,1.3
382,5,1,121.52,1.36
383,9,11,1958.17,5.3
384,20,0,224.26,2.25
385,3,8,1395.75,4.54
386,199,0,743.36,1.96
387,6,2,134.84,1.91
388,79,0,413.09,1.57
389,12,0,139.75,2.4
390,14,19,976.1,5.21
391,0,2,122.06,1.99
392,15,0,161.54,1.41
393,256,0,727.01,3.02
394,228,3,453.22,1.26
395,73,9,484.36,3.14
396,12,14,1792.39,5.87
397,181,1,609.03,2.57
398,114,13,489.97,1.89
399,7,2,1141.15,4.27
400,255,3,679.5,2.33
401,20,2,114.75,1.83
402,247,5,521.3,1.53
403,77,3,346.95,1.61
404,191,3,902.36,2.79
405,157,7,159.34,1.75
406,16,2,159.44,1
407,172,6,805.3,1.74
408,32,16,1529.38,4.86
409,10,3,129.06,1.06
410,191,5,397.27,1.82
411,134,13,341.47,3.05
412,0,36,858.47,5.37
413,83,4,281.32,2.65
414,7,21,1171.49,3.84
415,9,22,1755.95,4.92
416,3,17,1448.16,4.03
417,159,4,390.37,3.87
418,229,2,450.34,1.88
419,4,4,131.83,1
420,9,25,1000.96,5.08
421,0,21,2043.16,4.23
422,0,0,168.01,1
423,249,2,460.21,1.7
424,0,2,366.35,1.5
425,101,7,225.65,3.45
426,178,5,599.96,2.31
427,9,13,1705.2,5.22
428,15,8,1909.25,3.83
429,18,3,102.77,1.91
430,37,9,314.63,2.32
431,0,11,1435.41,4.95
432,1,19,1936.49,4.13
433,4,25,1633.86,5.01
434,1,5,1877.36,4.02
435,0,14,1644.45,5.17
436,200,6,747.59,1.26
437,10,28,1050.06,4.34
438,110,5,739.44,1.6
439,99,2,606.14,2.45
440,119,11,340.73,3.2
441,182,5,654.11,1.96
442,9,10,1657.45,5.48
443,103,12,10,3.77
444,248,1,746.19,2.48
445,22,2,297.2,1.42
446,35,3,263.25,1.43
447,5,2,218.44,1.19
448,22,32,1140.88,3.14
449,19,24,958.39,4.79
450,11,5,1329.69,3.87
451,127,5,496.87,2.6
452,95,5,239.28,1.52
453,24,6,1956.72,4.86
454,0,19,1794.69,3.85
455,90,13,288.3,2.74
456,69,5,464.03,2.07
457,29,1,71.34,1.3
458,0,13,1287.75,4.05
459,12,0,120.01,1
460,44,11,327.57,2.85
461,21,28,1856.31,4.48
462,21,8,1413.48,5.01
463,207,5,519.35,2.18
464,4,14,2367.8,3.72
465,17,4,80.54,2.53
466,5,6,1184.07,3.54
467,14,23,1516.52,4.46
468,6,25,1585.79,4.23
469,17,18,1328.94,3.85
470,9,1,134.3,1.6
471,88,5,413.73,3.5
472,179,0,827.0,2.88
473,18,27,1548.82,4.03
474,9,11,110.54,5.14
475,25,12,1729.99,4.49
476,5,19,1909.44,4.14
477,52,7,412.14,2.42
478,16,10,1686.45,2.58
479,48,3,263.89,2.42
480,18,13,2017.49,4.67
481,63,4,180.27,2.73
482,52,4,864.53,1.32
483,18,0,98.9,1.53
484,15,16,1731.16,3.46
485,14,18,977.47,3.75
486,6,15,979.85,3.62
487,51,5,448.39,2.51
488,12,19,2043.63,4.26
489,135,0,460.37,1.53
490,29,14,1869.9,5.4
491,10,4,133.44,2.48
492,162,3,1010.29,1.14
493,15,4,210.83,2.0
494,3,19,1824.54,4.78
495,13,23,1466.03,4.59
496,153,9,294.52,2.65
497,160,3,576.58,1.98
498,6,4,1596.51,5.05
499,83,8,354.99,3.7
500,0,3,1189.22,4.22
501,149,6,190.36,1
502,0,1,107.45,1.48
503,19,3,92.67,1.94
504,0,32,979.3,4.46
505,157,1,381.99,2.44
506,6,11,1287.46,3.97
507,24,3,138.63,1.51
508,0,21,1719.49,3.43
509,110,6,389.78,2.77
510,100,9,526.42,3.5
511,10,27,1364.24,4.34
512,106,3,244.16,1.9
513,108,4,486.17,2.68
514,4,11,1382.86,3.36
515,16,0,136.14,1
516,16,11,1113.58,4.42
517,38,7,432.77,1.89
518,137,4,736.71,1
519,18,19,1814.45,4.81
520,10,30,534.56,3.84
521,1,24,1466.32,3.87
522,2,24,2025.05,4.32
523,107,3,113.44,2.46
524,14,2,143.79,1.0
525,9,29,773.36,3.38
526,58,4,771.83,2.61
527,80,8,372.25,2.59
528,2,3,157.62,1.38
529,9,23,1732.1,4.58
530,0,20,1609.6,4.47
531,15,14,1035.61,4.38
532,128,5,450.05,2.82
533,11,1,131.52,1.63
534,13,11,1139.29,4.58
535,10,2,157.95,1.0
536,1,8,1782.65,4.68
537,57,6,420.5,2.86
538,254,2,800.64,1.88
539,5,23,1569.86,4.59
540,103,5,655.26,3.33
541,8,22,1428.57,4.65
542,183,3,493.63,2.02
543,143,3,282.44,2.43
544,37,3,107.9,2.71
545,9,9,1434.53,5.2
546,221,6,296.02,1.81
547,6,14,1077.33,4.44
548,99,9,445.43,2.71
549,184,5,735.14,1.68
550,0,26,1379.55,3.21
551,144,6,882.72,2.33
552,141,3,214.01,1.64
553,5,16,1885.64,4.22
554,21,16,1599.06,5.63
555,3,0,128.9,1.94
556,206,7,467.66,2.06
557,15,26,2074.74,3.95
558,37,4,292.08,3.0
559,87,11,312.73,2.42
560,216,0,226.81,2.63
561,20,11,1577.97,3.89
562,199,2,736.03,2.92
563,95,11,242.26,2.48
564,78,12,290.07,2.68
565,98,8,464.18,2.6
566,20,32,1381.1,5.45
567,10,18,2185.32,5.53
568,180,4,490.15,1.59
569,0,22,1092.43,5.15
570,7,17,2293.49,3.86
571,121,4,598.17,1.21
572,9,2,143.07,1.13
573,10,22,1648.79,4.11
574,43,3,44.76,1.69
575,0,9,1352.79,4.76
576,11,5,1758.25,4.71
577,86,8,506.63,1.68
578,147,0,667.14,1.67
579,37,0,85.57,1.42
580,147,6,85.9,2.45
581,72,6,298.8,2.29
582,1,14,896.43,3.63
583,60,14,299.06,3.0
584,32,1,184.48,1
585,0,6,1624.71,4.54
586,59,5,386.3,1.87
587,2,27,1076.25,3.95
588,13,17,1263.04,5.54
589,78,3,345.88,1.61
590,196,1,449.8,1.89
591,101,7,323.56,2.37
592,102,10,341.03,3.19
593,204,6,712.17,1.94
594,11,21,2507.54,4.62
595,148,8,275.01,2.31
596,124,10,259.33,1.68
597,16,26,1236.96,5.29
598,37,2,215.47,1.42
599,121,8,615.86,2.27
600,107,5,731.03,3.32
601,105,6,1037.59,2.32
602,88,10,565.11,2.76
603,17,1,102.21,2.71
604,121,5,316.75,2.49
605,125,9,288.22,2.28
606,9,18,1051.07,4.85
607,11,0,184.45,1.17
608,143,0,714.36,2.42
609,127,8,330.63,2.48
610,27,6,1792.32,4.38
611,105,6,515.03,2.9
612,149,8,274.1,1.92
613,0,17,1683.81,5.73
614,27,4,24.83,1
615,98,6,286.47,2.66
616,37,3,80.41,1
617,125,2,240.84,1.96
618,218,4,522.3,1.42
619,213,2,550.27,1
620,94,11,187.32,2.66
621,12,23,1564.15,3.48
622,3,13,1062.86,4.39
623,26,14,1560.19,4.71
624,47,8,214.29,2.01
625,126,12,346.89,2.74
626,0,16,379.53,3.73
627,2,24,828.43,4.0
628,263,6,621.19,1.78
629,138,7,274.61,2.15
630,9,28,611.71,4.27
631,5,13,1673.19,4.6
632,11,19,1810.77,4.41
633,8,2,148.35,2.94
634,23,14,1530.5,4.3
635,65,3,226.21,2.23
636,168,5,446.83,3.07
637,29,5,150.46,1.2
638,3,4,1753.74,4.49
639,64,5,353.63,2.78
640,6,19,1510.89,5.01
641,11,23,1856.65,4.4
642,35,2,810.02,1
643,85,0,265.59,3.21
644,15,15,1723.2,4.5
645,9,8,1450.66,4.81
646,100,10,425.18,1.91
647,251,8,361.5,1.47
648,8,11,1578.92,5.01
649,28,0,68.41,1
650,28,1,225.37,1
651,150,3,650.1,2.02
652,55,9,109.8,2.94
653,8,3,184.63,2.9
654,18,13,2158.62,5.88
655,7,12,1919.25,5.29
656,127,3,304.28,2.23
657,68,11,457.62,2.58
658,119,4,570.94,2.08
659,16,2,84.47,2.16
660,15,2,88.19,1
661,235,3,551.07,1.98
662,11,22,1496.18,4.76
663,58,4,255.61,2.31
664,86,3,352.68,2.5
665,9,16,894.62,4.73
666,4,34,2107.62,4.21
667,267,2,613.02,2.33
668,16,22,1165.39,4.24
669,5,24,2073.63,3.63
670,86,13,318.09,3.28
671,187,6,570.36,3.07
672,11,13,1872.31,4.54
673,73,5,237.96,2.48
674,18,3,168.3,1.5
675,6,23,914.92,4.27
676,16,7,1510.24,4.83
677,0,17,1338.88,4.07
678,119,4,406.36,2.75
679,34,2,147.24,1.38
680,10,25,1864.97,3.63
681,19,18,1522.85,4.97
682,82,10,213.83,1.27
683,0,12,1543.24,4.7
684,3,27,2035.88,4.33
685,317,3,390.42,2.25
686,246,6,546.9,1.34
687,249,2,444.84,1
688,0,3,175.07,1.42
689,122,13,213.49,1.69
690,8,22,1556.41,4.7
691,14,9,2213.58,3.13
692,235,8,782.29,2.47
693,107,8,317.18,2.28
694,89,2,361.81,2.18
695,59,6,404.17,1.89
696,9,16,1115.27,4.34
697,0,23,1134.37,4.07
698,10,15,786.72,4.01
699,24,2,78.53,1
700,36,1,10,2.17
701,16,22,1961.09,4.64
702,210,7,295.7,2.18
703,104,2,482.38,2.96
704,23,3,98.73,1.44
705,8,25,1587.6,2.77
706,161,0,176.89,2.44
707,7,4,1058.68,5.18
708,17,15,1098.99,4.61
709,121,5,248.31,2.43
710,4,0,226.5,1.58
711,134,7,305.85,2.71
712,15,16,528.02,4.69
713,20,19,1313.05,4.38
714,94,2,362.49,3.86
715,20,17,1864.33,4.09
716,239,3,397.87,3.45
717,134,11,355.92,2.09
718,24,22,2131.26,5.06
719,105,6,369.27,2.27
720,12,14,1292.0,2.75
721,69,6,223.21,1
722,16,2,235.05,1
723,7,12,1159.8,4.63
724,0,20,1191.45,3.36
725,89,4,381.57,1.54
726,27,19,1818.69,5.57
727,55,9,394.85,2.61
728,72,5,367.83,2.72
729,88,8,398.3,2.03
730,2,15,918.98,4.39
731,172,6,732.49,1.89
732,1,19,1060.41,5.21
733,110,10,355.11,2.5
734,11,3,142.7,1.04
735,0,1,410.6,4.89
736,142,0,631.01,1.13
737,18,0,216.04,1
738,143,2,627.37,3.33
739,3,25,1206.48,4.51
740,10,14,1189.13,4.53
741,18,16,1231.8,4.55
742,0,16,1810.95,4.27
743,200,8,710.35,2.39
744,8,3,1032.81,4.7
745,134,10,236.8,3.69
746,20,7,1284.79,4.87
747,32,3,115.37,2.33
748,7,12,773.5,4.06
749,4,28,1052.51,3.33
750,4,22,1786.68,4.03
751,14,24,1351.83,4.6
752,28,0,22.74,1.88
753,141,5,398.17,3.02
754,14,5,1506.06,4.19
755,17,17,1014.67,4.15
756,39,2,234.29,1.0
757,8,13,1498.57,3.43
758,181,0,652.09,1
759,34,0,187.59,1.7
760,144,10,336.32,2.18
761,85,4,245.4,3.25
762,1,0,96.79,2.57
763,110,4,354.67,3.21
764,8,15,1348.62,4.75
765,6,26,1508.98,3.94
766,9,7,294.11,2.96
767,12,8,1889.68,4.28
768,127,13,422.51,2.67
769,162,10,395.54,2.49
770,15,0,471.66,4.17
771,9,15,1231.67,4.16
772,19,2,105.3,1.64
773,242,4,635.12,2.56
774,175,1,452.26,2.22
775,177,2,818.94,2.67
776,10,8,1736.92,4.8
777,113,2,743.11,2.46
778,116,4,430.47,2.19
779,148,6,533.19,2.27
780,33,3,269.1,2.17
781,127,3,320.29,3.3
782,236,1,331.3,2.51
783,69,4,268.28,1.83
784,9,22,1186.17,4.48
785,75,5,286.15,1.49
786,9,9,2189.83,3.7
787,190,2,577.46,1.07
788,12,2,121.4,1.75
789,13,0,162.45,1.02
790,204,0,674.14,2.44
791,5,28,1185.04,4.79
792,28,3,293.14,2.63
793,11,17,1928.44,4.87
794,17,19,1174.71,4.31
795,10,26,1847.43,3.98
796,20,1,247.58,2.15
797,78,6,595.61,2.69
798,86,5,333.45,3.69
799,80,7,193.57,1.79
800,4,13,2044.77,4.52
