date,sales
2024-11-01,148.37
2024-11-02,173.97
2024-11-03,178.05
2024-11-04,149.87
2024-11-05,137.92
2024-11-06,158.69
2024-11-07,148.91
2024-11-08,162.95
2024-11-09,182.6
2024-11-10,170.07
2024-11-11,133.76
2024-11-12,152.46
2024-11-13,141.45
2024-11-14,148.36
2024-11-15,150.78
2024-11-16,174.05
2024-11-17,168.63
2024-11-18,147.47
2024-11-19,139.74
2024-11-20,145.48
2024-11-21,130.07
2024-11-22,160.47
2024-11-23,176.7
2024-11-24,165.38
2024-11-25,143.48
2024-11-26,144.75
2024-11-27,151.68
2024-11-28,149.8
2024-11-29,166.02
2024-11-30,175.28
2024-12-01,172.25
2024-12-02,144.99
2024-12-03,151.5
2024-12-04,142.79
2024-12-05,157.58
2024-12-06,164.16
2024-12-07,180.86
2024-12-08,189.44
2024-12-09,150.06
2024-12-10,146.52
2024-12-11,144.02
2024-12-12,147.02
2024-12-13,144.53
2024-12-14,172.76
2024-12-15,173.78
2024-12-16,141.08
2024-12-17,148.82
2024-12-18,153.44
2024-12-19,150.22
2024-12-20,169.05
2024-12-21,185.78
2024-12-22,191.76
2024-12-23,148.72
2024-12-24,136.76
2024-12-25,155.31
2024-12-26,156.47
2024-12-27,164.96
2024-12-28,182.63
2024-12-29,194.53
2024-12-30,152.29
2024-12-31,155.09
2025-01-01,144.74
2025-01-02,136.58
2025-01-03,156.65
2025-01-04,192.34
2025-01-05,172.09
2025-01-06,163.79
2025-01-07,145.36
2025-01-08,149.75
2025-01-09,156.45
2025-01-10,162.94
2025-01-11,173.61
2025-01-12,187.56
2025-01-13,160.25
2025-01-14,158.53
2025-01-15,147.96
2025-01-16,169.56
2025-01-17,177.56
2025-01-18,201.77
2025-01-19,176.87
2025-01-20,159.13
2025-01-21,138.03
2025-01-22,158.08
2025-01-23,162.64
2025-01-24,154.16
2025-01-25,170.81
2025-01-26,190.15
2025-01-27,163.82
2025-01-28,147.61
2025-01-29,154.01
2025-01-30,139.04
2025-01-31,158.74
2025-02-01,185.73
2025-02-02,190.91
2025-02-03,172.52
2025-02-04,145.87
2025-02-05,139.13
2025-02-06,163.92
2025-02-07,160.72
2025-02-08,187.89
2025-02-09,196.5
2025-02-10,165.7
2025-02-11,167.59
2025-02-12,169.02
2025-02-13,148.03
2025-02-14,166.0
2025-02-15,202.65
2025-02-16,188.54
2025-02-17,169.69
2025-02-18,156.65
2025-02-19,155.89
2025-02-20,175.06
2025-02-21,175.88
2025-02-22,185.75
2025-02-23,200.11
2025-02-24,152.49
2025-02-25,152.35
2025-02-26,167.52
2025-02-27,163.76
2025-02-28,160.1
2025-03-01,192.35
2025-03-02,196.53
2025-03-03,174.33
2025-03-04,166.85
2025-03-05,159.14
2025-03-06,160.63
2025-03-07,168.54
2025-03-08,187.97
2025-03-09,206.65
2025-03-10,177.81
2025-03-11,171.11
2025-03-12,165.43
2025-03-13,163.59
2025-03-14,177.92
2025-03-15,188.06
2025-03-16,197.89
2025-03-17,152.82
2025-03-18,157.91
2025-03-19,174.97
2025-03-20,158.39
2025-03-21,159.81
2025-03-22,190.59
2025-03-23,210.39
2025-03-24,178.81
2025-03-25,159.47
2025-03-26,160.68
2025-03-27,166.77
2025-03-28,165.35
2025-03-29,193.24
2025-03-30,195.7
2025-03-31,156.44
2025-04-01,158.76
2025-04-02,163.5
2025-04-03,161.81
2025-04-04,164.9
2025-04-05,201.24
2025-04-06,214.32
2025-04-07,167.0
2025-04-08,161.05
2025-04-09,170.62
2025-04-10,167.92
2025-04-11,168.64
2025-04-12,206.18
2025-04-13,191.87
2025-04-14,164.5
2025-04-15,160.19
2025-04-16,160.57
2025-04-17,168.89
2025-04-18,180.56
2025-04-19,207.63
2025-04-20,206.55
2025-04-21,171.68
2025-04-22,156.54
2025-04-23,168.21
2025-04-24,164.32
2025-04-25,176.22
2025-04-26,204.98
2025-04-27,203.93
2025-04-28,170.77
2025-04-29,161.57
2025-04-30,169.57
2025-05-01,173.79
2025-05-02,170.62
2025-05-03,194.16
2025-05-04,210.4
2025-05-05,160.21
2025-05-06,165.11
2025-05-07,161.46
2025-05-08,186.32
2025-05-09,183.94
2025-05-10,203.37
2025-05-11,207.57
2025-05-12,176.84
2025-05-13,172.04
2025-05-14,159.17
2025-05-15,177.06
2025-05-16,184.9
2025-05-17,188.87
2025-05-18,212.05
2025-05-19,180.94
2025-05-20,158.57
2025-05-21,169.13
2025-05-22,173.59
2025-05-23,176.98
2025-05-24,204.48
2025-05-25,196.29
2025-05-26,174.86
2025-05-27,173.6
2025-05-28,179.75
2025-05-29,177.49
2025-05-30,180.31
2025-05-31,207.92
2025-06-01,191.63
2025-06-02,185.17
2025-06-03,170.39
2025-06-04,164.99
2025-06-05,174.72
2025-06-06,168.63
2025-06-07,187.09
2025-06-08,205.98
2025-06-09,172.53
2025-06-10,179.77
2025-06-11,168.96
2025-06-12,168.84
2025-06-13,176.69
2025-06-14,218.22
2025-06-15,209.85
2025-06-16,174.91
2025-06-17,167.03
2025-06-18,168.31
2025-06-19,178.93
2025-06-20,188.82
2025-06-21,214.76
2025-06-22,219.87
2025-06-23,183.03
2025-06-24,170.73
2025-06-25,171.27
2025-06-26,162.79
2025-06-27,178.3
2025-06-28,209.96
2025-06-29,209.04
2025-06-30,184.84
2025-07-01,166.27
2025-07-02,186.38
2025-07-03,184.71
2025-07-04,187.84
2025-07-05,210.85
2025-07-06,194.91
2025-07-07,178.49
2025-07-08,170.93
2025-07-09,194.75
2025-07-10,181.94
2025-07-11,184.51
2025-07-12,215.52
2025-07-13,205.42
2025-07-14,195.38
2025-07-15,173.53
2025-07-16,180.83
2025-07-17,177.12
2025-07-18,196.06
2025-07-19,192.38
2025-07-20,220.43
2025-07-21,178.49
2025-07-22,180.6
2025-07-23,173.14
2025-07-24,187.33
2025-07-25,192.15
2025-07-26,215.52
2025-07-27,218.47
2025-07-28,191.09
2025-07-29,189.2
2025-07-30,180.29
2025-07-31,177.12
2025-08-01,181.48
2025-08-02,217.29
2025-08-03,213.99
2025-08-04,195.57
2025-08-05,182.66
2025-08-06,176.35
2025-08-07,194.84
2025-08-08,208.29
2025-08-09,211.45
2025-08-10,210.54
2025-08-11,181.43
2025-08-12,190.47
2025-08-13,180.82
2025-08-14,185.41
2025-08-15,199.28
2025-08-16,214.04
2025-08-17,220.02
2025-08-18,184.89
2025-08-19,179.29
2025-08-20,187.86
2025-08-21,190.94
2025-08-22,199.59
2025-08-23,211.0
2025-08-24,222.91
2025-08-25,194.11
2025-08-26,186.11
2025-08-27,192.16
2025-08-28,198.84
2025-08-29,197.49
2025-08-30,216.67
2025-08-31,213.44
2025-09-01,193.98
2025-09-02,185.75
2025-09-03,186.17
2025-09-04,185.2
2025-09-05,201.54
2025-09-06,237.57
2025-09-07,225.71
2025-09-08,193.09
2025-09-09,191.04
2025-09-10,184.96
2025-09-11,193.61
2025-09-12,192.7
2025-09-13,213.02
2025-09-14,225.16
2025-09-15,195.28
2025-09-16,187.7
2025-09-17,184.4
2025-09-18,196.01
2025-09-19,190.35
2025-09-20,225.37
2025-09-21,221.58
2025-09-22,194.5
2025-09-23,195.94
2025-09-24,196.25
2025-09-25,184.6
2025-09-26,198.11
2025-09-27,223.19
2025-09-28,216.7
2025-09-29,176.31
2025-09-30,190.13
2025-10-01,192.47
2025-10-02,199.42
2025-10-03,201.81
2025-10-04,222.35
2025-10-05,228.37
2025-10-06,207.6
2025-10-07,195.63
2025-10-08,198.24
2025-10-09,193.91
2025-10-10,211.18
2025-10-11,220.86
2025-10-12,233.4
2025-10-13,180.79
2025-10-14,194.76
2025-10-15,194.17
2025-10-16,194.41
2025-10-17,213.54
2025-10-18,226.64
2025-10-19,227.42
2025-10-20,194.5
2025-10-21,208.85
2025-10-22,201.98
2025-10-23,204.4
2025-10-24,198.21
2025-10-25,234.88
2025-10-26,234.06
2025-10-27,197.6
2025-10-28,194.07
2025-10-29,184.06
2025-10-30,205.41
2025-10-31,196.63
2025-11-01,232.23
2025-11-02,227.14
2025-11-03,195.83
2025-11-04,198.9
2025-11-05,199.79
2025-11-06,192.25
2025-11-07,205.8
2025-11-08,231.39
2025-11-09,229.7
2025-11-10,191.12
2025-11-11,195.06
2025-11-12,191.48
2025-11-13,197.69
2025-11-14,207.82
2025-11-15,227.18
2025-11-16,231.08
2025-11-17,189.71
2025-11-18,200.83
2025-11-19,198.61
2025-11-20,200.1
2025-11-21,209.74
2025-11-22,244.01
2025-11-23,223.52
2025-11-24,191.14
2025-11-25,205.18
2025-11-26,194.96
2025-11-27,214.76
2025-11-28,201.71
2025-11-29,225.84
2025-11-30,241.5
2025-12-01,212.26
2025-12-02,203.68
2025-12-03,205.92
2025-12-04,204.41
2025-12-05,207.09
2025-12-06,229.13
2025-12-07,246.02
2025-12-08,211.68
2025-12-09,201.35
2025-12-10,205.88
2025-12-11,213.11
2025-12-12,221.07
2025-12-13,230.75
2025-12-14,236.32
2025-12-15,209.73
2025-12-16,223.0
2025-12-17,206.32
2025-12-18,217.65
2025-12-19,200.5
2025-12-20,239.6
2025-12-21,226.82
2025-12-22,199.55
2025-12-23,198.26
2025-12-24,204.32
2025-12-25,210.03
2025-12-26,216.67
2025-12-27,235.69
2025-12-28,235.57
2025-12-29,229.81
2025-12-30,207.48
