sqft,bedrooms,age,distance_km,price
1664.9,4,21.4,16.43,290119.29
2445.6,3,12.0,7.75,431056.18
2493.7,1,37.5,12.38,363626.18
1819.0,3,37.6,14.94,302297.52
2510.0,3,6.3,15.1,400739.33
1255.9,3,44.8,11.54,187686.87
2760.3,4,47.7,25.46,417159.65
612.9,6,38.2,24.13,120868.45
3889.0,4,0.0,11.75,674971.38
3494.1,4,12.4,3.27,585197.38
1040.3,5,48.6,3.27,221273.22
3462.8,4,4.3,23.31,538663.28
504.8,2,11.6,27.6,73427.31
947.9,3,26.4,13.12,164695.6
3173.5,1,3.5,15.73,488842.25
1282.5,5,0.1,16.12,252688.87
3987.3,3,47.9,19.34,613755.89
1321.7,2,1.5,12.35,231009.27
2773.8,1,1.1,14.95,438141.02
1400.4,6,21.2,11.11,266947.11
2225.3,6,16.9,12.62,400942.19
3289.7,6,42.3,2.02,556521.35
2234.9,2,15.6,24.6,344847.96
3161.6,3,5.5,18.71,523007.17
2635.3,2,24.3,27.31,410184.56
3726.7,1,10.6,29.22,559043.11
996.7,1,35.5,5.52,147568.83
1599.7,1,49.9,27.95,211522.74
1652.3,2,32.6,15.74,247565.29
3038.8,3,49.2,13.27,472498.19
881.4,1,14.0,10.54,167332.1
3874.9,2,19.0,23.06,587786.55
1580.4,4,4.4,21.16,287507.62
2062.2,3,18.2,26.91,338597.04
606.0,4,12.4,18.76,121424.83
2124.2,1,12.9,22.42,331708.25
3644.9,3,18.1,10.05,596412.95
3112.5,6,15.8,8.27,546399.96
513.2,5,45.8,19.02,105397.99
1318.5,4,35.8,13.97,230051.96
3217.2,3,45.7,24.44,488967.45
530.5,6,15.2,20.76,148924.03
1029.6,2,16.4,9.59,175226.15
776.6,2,19.6,4.8,181203.52
1927.1,6,1.7,16.58,345304.37
3592.2,1,13.2,2.52,620537.86
837.5,4,49.4,29.16,121475.65
2113.2,6,11.7,16.16,392370.42
3208.6,1,39.0,8.82,490283.79
1389.2,3,10.0,7.42,277204.82
1358.7,2,14.1,27.23,210172.73
1380.8,2,25.4,6.94,248025.13
3329.6,6,23.2,1.11,619703.99
1308.9,4,45.7,1.21,248214.48
1527.9,1,2.5,18.01,255770.63
762.9,5,43.3,13.47,144146.16
1409.8,6,47.3,3.17,260125.81
1261.8,3,17.0,1.32,241161.21
3999.6,1,30.0,19.55,597512.67
1645.4,6,18.6,18.63,306845.66
772.8,1,39.8,16.44,117616.81
1883.5,5,7.7,16.02,346994.12
2785.7,4,34.8,12.29,452780.59
3836.2,3,37.3,26.51,585169.75
1949.3,1,43.2,29.9,251507.47
3048.1,2,47.1,13.02,470995.01
1048.0,1,41.0,12.19,172366.6
1068.9,1,2.6,4.27,198522.33
3322.6,4,4.5,18.67,535266.56
1010.6,3,8.1,5.15,227703.62
734.8,4,24.5,24.14,142047.9
943.3,1,48.8,14.48,131450.31
686.8,6,19.4,27.13,122893.27
1061.0,2,31.1,18.44,148217.71
1186.4,4,9.1,6.54,232910.56
1842.5,1,7.5,29.12,282831.14
3354.8,2,2.1,16.87,538027.56
3433.7,1,19.5,13.67,527941.83
3471.5,3,32.5,9.25,556345.61
1786.1,5,21.9,0.7,363869.19
2666.1,4,23.3,13.4,424112.92
3427.9,4,20.0,2.01,565342.79
1755.0,3,4.6,13.26,308746.42
2727.5,1,46.1,9.41,413144.73
3021.4,1,2.7,15.12,454298.39
976.6,1,49.8,21.96,148293.0
3352.5,2,6.6,26.57,508007.4
3282.4,6,39.4,27.92,541600.63
729.3,3,30.5,7.57,140589.44
3667.7,4,7.2,15.07,622779.05
3719.7,2,29.6,18.48,568468.99
1196.3,4,8.1,28.09,221241.31
2878.9,4,8.4,23.55,481824.64
2727.1,3,48.3,13.59,435447.71
2325.1,6,44.1,3.14,438309.65
1879.9,3,13.2,29.71,291028.79
2520.8,3,16.5,2.44,442590.73
3852.9,3,41.0,7.61,630500.26
2737.3,5,46.4,26.87,417072.38
1275.7,3,30.8,12.97,196051.52
2294.4,1,6.6,6.82,383418.06
509.2,3,15.2,15.69,110225.53
2369.4,4,29.2,17.67,392676.18
2162.2,2,0.7,24.05,365783.91
2976.2,4,4.8,19.15,512378.58
1906.8,3,48.4,1.68,305027.52
3373.1,3,29.7,17.35,512939.42
2225.0,2,45.2,1.32,354148.74
2360.3,4,9.3,4.78,433076.64
2644.2,6,47.0,4.27,456744.22
1198.3,5,32.1,19.43,197372.45
2280.0,1,15.0,1.45,397578.86
3612.7,4,35.8,0.19,616781.94
2128.4,6,32.8,5.26,371954.94
3988.1,3,11.6,1.16,653822.17
2932.9,3,35.6,7.98,496952.11
2438.3,4,34.3,27.52,385635.04
3750.0,2,4.3,15.22,596430.75
1094.2,2,42.1,6.08,206281.59
1171.8,4,16.4,7.18,266301.59
3676.5,6,46.1,29.45,575821.56
2152.5,5,34.9,25.73,327910.76
2030.2,6,11.7,26.54,355744.69
2548.7,5,45.5,4.34,422690.63
594.2,1,31.1,4.85,137602.24
608.0,2,34.6,19.02,92172.63
2939.5,6,2.3,25.69,498410.49
3841.0,5,44.6,1.98,626566.95
3537.3,6,47.2,3.21,598398.47
620.5,6,4.4,22.54,161518.73
2712.9,4,5.0,2.94,487539.24
1617.0,4,13.1,10.53,290898.03
3755.3,1,35.8,11.04,555939.54
2263.1,3,30.9,0.93,427781.84
1945.2,4,25.9,2.95,350519.31
2481.3,6,43.1,2.73,443171.66
3369.3,2,21.8,15.71,520582.79
688.9,3,24.5,14.74,158483.18
3288.7,2,48.4,17.78,506465.84
2523.0,2,14.2,6.44,419427.2
2948.2,4,8.3,28.16,471108.08
3968.9,5,39.3,18.84,608864.84
1744.7,4,46.4,26.76,260576.5
2760.5,3,10.3,7.9,454339.27
3654.3,5,8.6,29.47,557824.54
944.1,5,37.7,22.59,139891.62
2762.0,3,29.1,15.65,450822.12
2438.1,3,8.5,13.16,400499.01
3207.0,5,11.6,10.02,537307.74
2277.0,3,15.1,21.09,349196.3
3452.8,2,36.2,29.24,497081.56
1720.2,2,16.4,5.68,283455.38
3913.0,6,49.7,4.94,641869.54
1028.4,2,39.7,22.0,140179.53
2022.2,2,5.5,27.34,308275.67
2123.7,1,20.0,23.73,345765.02
2927.0,5,49.0,8.89,493503.55
3083.8,1,37.0,27.24,440060.46
2005.1,5,29.4,19.42,351069.17
2783.7,6,35.0,25.57,430062.8
2878.6,6,6.2,12.98,509433.01
3631.6,2,39.1,21.39,563909.64
2703.7,3,42.5,14.48,452045.5
2313.9,6,46.5,5.49,412545.58
2790.7,1,19.4,14.7,437798.74
2401.8,2,35.8,28.54,343871.42
1199.3,3,5.1,17.24,198328.64
2292.7,6,39.6,11.1,393923.13
1700.0,6,47.4,6.3,308470.11
3169.5,1,36.5,18.42,455693.82
2731.5,3,13.7,11.99,470335.12
1971.9,6,33.7,17.41,345286.05
882.4,3,37.1,28.2,115913.97
3305.2,4,23.1,4.94,555638.99
3753.0,1,40.5,19.03,533589.36
1291.0,2,17.7,19.16,214901.94
3365.6,4,23.4,8.83,551050.27
3418.1,3,39.2,6.91,545228.2
2964.7,6,12.7,12.78,519428.93
3026.3,3,17.9,19.63,481369.98
1621.1,4,21.4,19.12,270109.27
3750.5,4,2.9,24.84,588643.87
3670.3,2,26.5,10.35,559541.57
1234.1,1,32.8,7.5,193007.44
855.3,2,42.7,5.57,127880.17
1229.9,4,39.6,5.04,240559.5
3619.0,5,48.9,2.71,613752.42
2728.1,3,9.9,20.78,428789.86
2357.8,6,42.0,20.14,395409.57
1966.6,2,23.7,16.72,317683.56
2195.3,2,35.0,7.4,366856.74
3071.1,2,42.0,14.04,486394.68
2469.0,6,14.8,13.97,380869.94
2865.8,2,31.9,19.08,466237.73
599.9,5,2.3,22.1,171226.96
828.9,4,24.2,26.93,140922.76
618.6,6,20.8,3.81,196798.65
1694.6,5,27.7,27.37,289590.38
1494.5,3,21.1,16.62,259831.82
3397.1,4,16.7,29.53,516089.47
3555.4,3,48.7,19.64,538536.58
1609.8,3,6.4,29.18,245024.14
806.5,1,19.9,16.63,115485.63
1894.7,1,0.3,5.7,343468.28
3725.0,5,38.3,1.8,605714.49
1816.2,2,31.3,20.89,275466.93
2587.1,6,4.2,1.18,478335.6
1108.7,6,9.1,1.11,251187.88
3210.9,6,0.7,26.16,547085.94
2985.5,3,9.2,1.03,528250.33
571.4,5,32.1,28.02,122292.56
637.8,1,38.7,12.63,105993.66
2935.0,4,22.3,0.42,496299.11
3782.0,2,23.8,12.37,606617.81
857.2,6,23.6,26.87,154879.16
532.6,6,6.1,28.99,115723.15
808.5,1,6.4,0.53,172909.36
3067.5,2,46.1,10.98,460286.33
3115.3,6,42.8,21.89,517519.14
2982.3,4,33.5,26.7,467832.36
3697.3,1,35.9,0.34,606888.89
3360.7,1,19.4,9.37,531808.28
2600.4,4,30.4,9.49,459681.67
2144.3,2,7.2,23.92,330351.82
1771.4,6,8.2,24.06,295286.36
2084.6,3,39.2,17.0,331057.17
1523.4,1,31.1,19.53,231081.5
3543.5,6,48.9,24.94,533311.02
2604.0,3,29.2,29.29,388989.9
1816.7,2,40.4,8.5,308051.52
505.9,3,13.4,4.72,158088.04
3240.8,3,41.7,24.35,471903.73
3535.2,5,7.3,29.26,571410.41
3219.7,4,17.3,2.55,535898.62
2437.9,4,10.0,22.51,412611.59
2624.1,6,19.8,21.25,440745.18
3741.0,5,37.6,23.75,577382.14
3323.0,1,11.6,17.39,515971.11
3639.3,5,16.0,15.19,605767.46
822.7,6,14.5,17.34,197037.94
1756.1,5,42.8,7.39,329824.31
3532.3,3,31.6,23.62,529122.06
1046.5,5,1.5,8.42,233720.58
1216.3,5,24.3,17.02,224797.0
1415.6,3,21.3,28.39,221509.46
3872.1,3,42.2,10.17,579176.76
3981.2,4,4.2,1.53,652378.56
2104.0,1,43.1,19.2,291985.68
3727.5,6,48.0,7.72,595604.7
3847.5,6,25.3,5.48,647442.3
3473.9,3,48.3,29.75,503700.08
1395.5,3,3.0,16.59,257930.77
597.3,1,12.9,15.4,106808.02
2192.0,1,7.2,22.65,312360.82
3787.8,6,37.4,17.69,592516.59
2147.5,3,12.9,3.72,392267.13
2184.6,2,22.1,24.23,358758.97
2137.6,2,39.9,4.71,333039.95
3414.9,1,46.7,26.0,489173.94
2065.4,1,46.3,11.55,304363.53
576.1,1,22.6,10.19,115504.92
2698.6,2,16.6,22.08,402030.59
1130.8,4,27.7,4.34,236929.64
1941.2,2,1.3,17.13,317339.07
1537.9,2,13.0,3.28,267140.73
1036.8,5,2.8,26.85,204222.21
2839.0,2,28.0,25.06,441755.26
3897.5,4,49.6,29.94,592216.1
3737.8,1,19.5,12.47,594980.85
3924.9,2,48.9,0.48,642764.16
3324.6,3,25.5,13.29,540526.74
1502.4,3,21.8,27.36,198358.5
1263.9,5,9.0,25.3,221003.33
1114.7,5,4.0,2.62,257316.07
2629.9,4,38.1,5.26,458074.55
2699.6,2,29.1,6.07,456418.87
729.9,6,26.0,25.23,163924.14
1716.7,3,42.1,25.94,242856.78
2225.6,1,20.5,22.89,346533.58
1369.2,5,41.6,11.01,266579.53
1072.2,3,28.7,25.74,144826.4
3890.6,1,6.0,21.44,623215.12
3357.9,3,39.0,26.04,471991.54
1520.4,1,47.7,14.84,205422.11
2296.6,5,40.2,4.03,404509.76
2666.8,2,5.1,7.51,457337.44
3360.0,1,1.0,27.79,506824.09
3430.7,6,28.8,15.69,558517.04
2959.3,1,17.5,2.82,489396.52
2127.0,5,25.0,8.39,393041.37
927.1,4,44.2,16.25,162717.51
2840.7,4,37.3,4.93,487041.57
3391.0,6,19.4,12.61,587667.22
1884.7,1,38.8,10.16,275834.15
1341.3,3,35.8,25.29,161767.05
1622.2,4,42.4,1.61,278976.29
2310.8,6,46.7,7.48,385551.97
1775.5,5,9.4,9.73,349342.78
1202.7,6,1.0,4.18,306714.71
3779.3,6,2.3,29.41,611293.95
3906.5,1,1.7,19.25,603873.99
1457.0,5,40.3,1.07,306637.09
851.8,1,26.0,13.01,152698.35
1568.9,6,8.3,1.81,331288.9
3856.8,5,45.1,2.53,608061.25
2039.9,5,6.6,8.81,364438.73
1922.9,3,13.7,22.08,312571.55
2089.5,6,28.5,19.51,349275.88
1204.2,6,18.3,26.75,216783.63
3365.9,1,12.1,6.65,558031.25
2293.6,4,48.5,11.89,379397.76
3832.3,3,27.8,14.74,598997.44
1496.9,2,14.8,23.16,239413.56
3549.5,4,32.9,15.51,569772.11
3420.2,3,36.8,3.28,562950.53
3085.2,2,20.8,20.05,513515.85
991.1,2,30.8,25.5,150856.62
3085.7,6,46.1,29.87,459901.24
1440.4,6,35.4,27.44,263984.32
515.1,5,29.3,14.94,145726.73
3869.6,5,7.5,25.5,619629.46
888.6,4,34.6,8.64,198851.99
1734.2,3,19.5,16.66,281284.49
3254.8,4,19.0,9.0,553763.72
2379.1,2,21.8,11.31,389967.48
1655.3,5,41.9,28.76,284914.13
1215.1,4,44.6,28.68,190658.74
3635.6,3,46.0,23.2,543969.85
2384.7,4,25.9,15.52,390079.62
1752.0,5,33.8,13.59,294880.78
536.3,1,26.3,2.97,102804.42
2464.7,5,7.7,5.65,463016.93
1974.3,4,22.0,18.74,344812.29
2355.5,1,8.5,9.54,387074.37
3924.5,3,25.6,3.32,659633.21
3371.9,5,44.4,12.63,530888.14
1047.4,3,40.8,6.23,204103.75
710.6,5,30.2,10.6,151652.46
3978.1,6,36.1,20.75,637415.71
2987.2,5,0.2,9.13,529736.35
3447.6,5,0.8,0.89,626372.79
2484.6,6,44.8,15.43,438899.3
1003.0,2,20.6,3.65,210717.37
873.3,1,3.8,28.44,152175.14
2216.5,4,30.7,24.2,351757.31
3197.0,3,7.2,7.15,540406.98
1464.1,1,13.3,2.98,279289.86
1721.1,4,31.2,0.59,310778.43
1270.2,4,29.1,28.79,180253.36
1372.7,1,8.0,17.61,232029.13
1107.4,1,44.9,24.48,134452.52
3860.1,4,49.0,2.03,645010.82
2870.5,6,35.9,6.64,487433.5
2195.4,2,4.4,5.1,414128.39
1826.5,1,48.6,8.72,270812.3
2368.1,4,16.8,19.54,389912.56
3864.3,4,41.3,10.54,615848.02
1492.6,2,21.8,8.37,269478.98
588.5,2,12.1,3.9,147041.2
3256.1,5,22.2,25.09,538265.63
3317.3,2,18.4,6.49,522397.77
2532.6,3,47.5,15.14,403424.5
1295.5,4,33.8,28.26,220973.35
2041.2,3,26.7,12.12,340282.58
2285.7,2,43.6,3.68,351890.5
1446.4,4,1.4,21.55,261188.44
1007.7,1,19.5,2.58,203353.71
1623.6,6,44.6,2.04,340055.18
3698.5,5,37.9,5.78,611606.92
1510.0,6,19.9,10.68,292873.39
