order_id,order_date,city,category,product,quantity,unit_price,total_amount,customer_id
1649,2024-11-06,SF,Home,Blender,2,50.84,101.68,75
2566,2024-02-25,LA,Electronics,Headphones,1,42.68,42.68,460
1223,2024-12-18,NY,Electronics,Headphones,1,43.51,43.51,393
455,2024-11-06,LA,Clothing,Jeans,2,59.11,118.22,439
781,2025-11-14,SF,Toys,Action Figure,2,12.97,25.94,132
118,2025-12-02,SF,Home,Blender,1,51.49,51.49,382
2964,2025-03-04,CHI,Home,Lamp,2,32.48,64.96,307
1752,2025-12-04,LA,Home,Blender,1,50.12,50.12,1
666,2025-02-08,LA,Clothing,T-Shirt,1,19.89,19.89,288
1637,2025-11-24,NY,Toys,Board Game,2,21.55,43.1,464
919,2024-09-16,SF,Electronics,Phone Case,2,16.88,33.76,328
1680,2024-03-07,SF,Electronics,Laptop,1,862.31,862.31,118
2879,2025-12-02,LA,Grocery,Coffee Beans,1,15.35,15.35,426
2261,2025-12-22,CHI,Clothing,T-Shirt,3,17.73,53.19,478
2056,2025-12-05,SF,Electronics,Phone Case,1,14.81,14.81,144
1667,2024-06-04,NY,Home,Lamp,4,29.56,118.24,94
2413,2024-04-28,NY,Clothing,Jacket,5,111.26,556.3,492
1965,2025-11-24,CHI,Electronics,Laptop,3,889.41,2668.23,282
625,2024-11-24,NY,Toys,Action Figure,2,12.72,25.44,78
492,2024-05-13,CHI,Toys,Action Figure,4,12.4,49.6,58
1027,2025-11-24,NY,Toys,Action Figure,1,13.23,13.23,154
705,2025-11-08,SF,Clothing,Jacket,2,125.74,251.48,318
2753,2024-11-03,CHI,Clothing,Jeans,3,51.59,154.77,8
702,2024-11-11,SF,Clothing,T-Shirt,1,21.61,21.61,374
1474,2025-03-07,LA,Home,Lamp,1,28.32,28.32,295
225,2024-11-26,LA,Electronics,Phone Case,1,13.44,13.44,178
1958,2024-12-06,NY,Home,Blender,1,49.84,49.84,119
1903,2024-04-06,SF,Clothing,Jacket,2,131.9,263.8,124
1945,2024-06-18,LA,Clothing,Jeans,2,50.4,100.8,144
409,2024-01-20,SF,Grocery,Coffee Beans,3,14.55,43.65,246
722,2025-01-19,LA,Clothing,Jeans,1,60.62,60.62,293
1129,2025-04-04,LA,Clothing,Jacket,1,110.96,110.96,140
1113,2025-07-08,CHI,Grocery,Snack Box,1,9.07,9.07,62
2351,2024-06-26,SF,Toys,Puzzle,4,15.99,63.96,228
812,2024-11-02,NY,Clothing,Jeans,2,58.63,117.26,144
2368,2024-12-08,NY,Grocery,Coffee Beans,3,13.79,41.37,76
2934,2024-12-09,LA,Toys,Board Game,1,22.89,22.89,257
71,2025-11-15,CHI,Home,Lamp,1,29.87,29.87,371
771,2025-12-01,SF,Grocery,Coffee Beans,3,13.5,40.5,475
1744,2024-12-04,LA,Toys,Action Figure,2,12.14,24.28,292
352,2025-03-27,CHI,Grocery,Olive Oil,3,22.28,66.84,53
1553,2024-11-25,LA,Toys,Board Game,1,22.12,22.12,404
298,2024-11-13,LA,Grocery,Snack Box,2,10.24,20.48,256
1023,2024-11-10,CHI,Electronics,Laptop,2,914.6,1829.2,229
608,2024-06-20,SF,Home,Lamp,1,31.19,31.19,216
2994,2025-08-05,LA,Toys,Action Figure,5,11.63,58.15,97
2979,2025-10-12,LA,Electronics,Headphones,2,41.5,83.0,473
1140,2025-12-24,NY,Electronics,Phone Case,1,15.95,15.95,266
1182,2025-12-09,NY,Electronics,Headphones,2,39.87,79.74,407
700,2025-12-24,LA,Electronics,Headphones,2,35.37,70.74,194
303,2024-12-18,SF,Toys,Board Game,2,21.3,42.6,9
1070,2024-02-17,,Grocery,Olive Oil,1,25.15,25.15,438
2522,2025-12-25,SF,Toys,Puzzle,2,19.59,-39.18,274
2960,2024-07-27,LA,Grocery,Coffee Beans,1,13.66,13.66,238
1828,2024-12-20,CHI,Electronics,Headphones,1,36.24,36.24,260
2348,2025-11-04,NY,Toys,Action Figure,3,11.64,34.92,91
596,2025-11-15,NY,Grocery,Olive Oil,2,21.86,43.72,358
2629,2024-11-18,NY,Electronics,Headphones,1,37.86,37.86,479
1911,2024-11-15,CHI,Toys,Puzzle,1,20.42,20.42,188
619,2024-01-01,LA,Home,Lamp,1,27.84,27.84,177
2369,2024-09-18,CHI,Grocery,Olive Oil,2,25.04,50.08,412
715,2025-07-27,LA,Grocery,Olive Oil,1,21.43,21.43,6
712,2025-09-30,LA,Grocery,Olive Oil,2,20.41,40.82,315
2047,2025-11-13,CHI,Toys,Board Game,1,25.85,25.85,467
146,2024-11-19,LA,Home,Blender,3,51.6,154.8,417
709,2025-01-23,CHI,Electronics,Headphones,1,43.22,43.22,432
1924,2025-02-20,LA,Clothing,Jeans,3,56.9,170.7,124
2750,2025-11-01,SF,Grocery,Olive Oil,,24.54,49.08,162
2484,2024-11-14,NY,Grocery,Olive Oil,1,19.67,19.67,337
1079,2024-10-06,LA,Toys,Action Figure,2,11.52,23.04,227
2334,2025-01-25,NY,Grocery,Snack Box,4,9.82,39.28,168
717,2024-12-07,SF,Grocery,Olive Oil,1,23.76,23.76,203
2202,2024-11-09,NY,Clothing,Jacket,4,136.58,546.32,351
2493,2025-07-02,,Electronics,Headphones,1,38.12,38.12,294
2254,2024-11-21,LA,Clothing,Jacket,4,122.54,490.16,399
1567,2025-09-03,LA,Electronics,Headphones,4,40.15,160.6,488
2107,2024-05-13,CHI,Home,Blender,4,38.53,154.12,110
1253,2024-09-08,CHI,Grocery,Coffee Beans,1,12.19,12.19,52
692,2024-02-12,CHI,Home,Lamp,2,33.49,66.98,369
1267,2025-12-11,CHI,Toys,Action Figure,2,11.35,22.7,309
2162,2024-12-15,CHI,Clothing,T-Shirt,1,21.38,21.38,307
920,2025-03-29,CHI,Home,Cookware Set,4,75.36,301.44,475
1061,2025-11-15,NY,Grocery,Snack Box,2,11.39,22.78,254
1082,2024-11-28,SF,Home,Cookware Set,2,93.05,186.1,5
1555,2024-05-23,CHI,Electronics,Laptop,1,955.6,955.6,116
183,2025-11-09,CHI,Clothing,Jeans,2,51.87,103.74,67
2235,2024-11-17,CHI,Clothing,Jeans,2,49.3,98.6,196
333,2025-08-31,NY,Electronics,Laptop,3,954.44,2863.32,56
1092,2024-12-22,NY,Clothing,T-Shirt,5,17.42,87.1,233
1504,2025-11-09,CHI,Home,Lamp,2,29.02,58.04,373
231,2025-03-01,LA,Toys,Board Game,1,26.41,26.41,175
2977,2025-11-24,CHI,Toys,Puzzle,1,16.79,16.79,440
1861,2025-07-15,LA,Toys,Puzzle,2,19.56,39.12,230
28,2024-12-05,CHI,Toys,Puzzle,4,17.13,68.52,94
2800,2025-12-21,CHI,Toys,Board Game,3,25.07,75.21,479
151,2025-03-12,CHI,Electronics,Headphones,3,45.98,137.94,365
1701,2025-09-07,NY,Electronics,Headphones,1,42.8,42.8,410
2628,2024-07-17,LA,Home,Blender,2,48.35,96.7,447
2870,2025-02-27,NY,Grocery,Coffee Beans,4,12.69,50.76,49
1977,2025-11-15,CHI,Grocery,Olive Oil,1,20.99,20.99,222
2462,2025-11-06,LA,Electronics,Phone Case,3,13.37,40.11,315
1619,2025-09-13,NY,Toys,Action Figure,2,13.38,26.76,225
2862,2024-09-20,SF,Home,Cookware Set,2,94.02,188.04,99
855,2025-11-01,NY,Toys,Board Game,4,26.15,104.6,392
952,2024-09-02,CHI,Grocery,Olive Oil,1,19.31,19.31,46
2695,2024-06-23,SF,Grocery,Snack Box,1,9.87,9.87,422
2749,2024-12-19,NY,Electronics,Phone Case,1,14.78,14.78,381
1693,2025-08-16,NY,Clothing,Jeans,2,53.71,107.42,383
1439,2024-11-08,CHI,Clothing,Jeans,1,53.95,53.95,383
2995,2025-09-07,LA,Home,Lamp,,30.99,61.98,302
2779,2024-11-12,LA,Home,Lamp,3,30.01,90.03,499
2042,2025-12-02,CHI,Electronics,Headphones,4,34.82,139.28,415
1657,2025-11-11,CHI,Grocery,Olive Oil,1,21.59,21.59,423
2265,2025-08-13,LA,Grocery,Coffee Beans,4,15.77,63.08,77
330,2025-02-22,LA,Home,Cookware Set,3,74.01,222.03,325
751,2024-12-04,SF,Clothing,Jeans,4,47.78,191.12,444
2811,2024-10-10,CHI,Grocery,Coffee Beans,2,14.94,29.88,275
883,2024-08-24,LA,Toys,Board Game,2,22.17,44.34,16
2052,2025-11-15,LA,Clothing,Jacket,2,105.99,211.98,76
19,2024-11-10,LA,Home,Lamp,4,25.68,102.72,30
2076,2024-02-16,LA,Home,Blender,1,40.57,40.57,424
179,2025-11-15,NY,Grocery,Snack Box,2,9.06,18.12,416
2822,2025-12-17,LA,Home,Blender,1,46.74,46.74,362
710,2025-12-12,SF,Grocery,Coffee Beans,1,13.13,13.13,169
2194,2025-09-30,CHI,Grocery,Snack Box,2,9.98,19.96,259
1413,2025-04-15,LA,Clothing,Jeans,2,57.57,115.14,143
1723,2025-04-14,SF,Clothing,Jeans,1,54.11,54.11,394
647,2025-03-01,NY,Electronics,Laptop,4,915.67,3662.68,422
1268,2024-09-08,CHI,Home,Blender,2,49.08,98.16,276
1531,2025-03-12,SF,Electronics,Headphones,3,37.29,111.87,189
947,2024-12-22,NY,Electronics,Phone Case,1,16.2,16.2,455
2664,2024-11-06,SF,Electronics,Headphones,4,36.77,147.08,68
2836,2025-12-12,NY,Clothing,Jeans,3,60.75,182.25,318
252,2025-10-20,SF,Home,Cookware Set,3,91.94,275.82,313
554,2024-11-02,LA,Home,Blender,2,41.2,82.4,266
2454,2025-12-27,LA,Electronics,Phone Case,1,15.43,15.43,116
46,2024-12-28,CHI,Home,Blender,2,47.46,94.92,499
217,2024-10-19,CHI,Home,Cookware Set,5,83.63,418.15,103
822,2024-12-06,NY,Electronics,Phone Case,4,13.07,52.28,152
461,2025-12-09,SF,Electronics,Laptop,5,782.24,3911.2,97
552,2025-09-20,LA,Electronics,Phone Case,5,13.82,69.1,229
1655,2025-11-06,CHI,Grocery,Olive Oil,4,24.98,99.92,353
2125,2024-05-06,,Electronics,Headphones,1,37.73,37.73,56
128,2025-11-26,CHI,Grocery,Coffee Beans,2,12.88,25.76,462
2981,2025-11-27,CHI,Clothing,Jacket,5,111.11,555.55,461
2195,2024-11-16,NY,Toys,Puzzle,3,19.87,59.61,405
2160,2024-11-25,NY,Home,Blender,2,42.21,84.42,233
2532,2025-03-14,SF,Clothing,Jacket,1,125.75,125.75,37
2873,2024-10-25,LA,Electronics,Laptop,4,950.02,3800.08,95
2210,2025-12-03,SF,Clothing,Jeans,1,59.84,59.84,151
1170,2024-03-01,SF,Clothing,Jeans,5,51.56,257.8,79
783,2025-09-16,CHI,Toys,Board Game,4,24.94,99.76,56
2531,2025-12-09,NY,Home,Lamp,3,26.07,78.21,410
869,2024-04-08,LA,Home,Blender,2,39.14,78.28,301
504,2025-11-07,NY,Electronics,Headphones,2,44.76,89.52,477
2086,2024-11-11,NY,Electronics,Phone Case,2,16.61,33.22,133
2605,2024-07-05,LA,Toys,Action Figure,3,11.13,33.39,82
1918,2024-12-16,CHI,Clothing,Jeans,4,61.94,247.76,110
288,2024-11-03,CHI,Grocery,Olive Oil,2,23.3,46.6,95
609,2024-11-11,SF,Grocery,Snack Box,4,9.71,38.84,335
1786,2024-01-04,CHI,Clothing,T-Shirt,1,21.11,21.11,394
188,2024-11-24,CHI,Home,Cookware Set,1,75.59,75.59,23
1668,2025-03-18,CHI,Grocery,Olive Oil,3,21.7,65.1,295
516,2025-12-04,LA,Electronics,Phone Case,1,16.28,16.28,381
1791,2024-11-03,LA,Clothing,Jeans,2,58.96,117.92,22
347,2025-11-18,LA,Toys,Action Figure,2,12.35,24.7,251
2449,2025-11-25,SF,Clothing,Jacket,1,135.39,135.39,491
20,2025-05-12,LA,Clothing,Jacket,1,136.09,136.09,66
1150,2024-01-08,SF,Grocery,Coffee Beans,2,12.31,24.62,478
650,2025-07-25,NY,Clothing,Jacket,1,124.51,124.51,393
1273,2025-12-19,NY,Electronics,Phone Case,1,17.09,17.09,340
1787,2024-02-06,NY,Grocery,Coffee Beans,3,15.5,46.5,11
752,2025-12-13,CHI,Electronics,Headphones,2,39.18,78.36,223
161,2024-11-12,SF,Home,Blender,3,40.69,122.07,180
167,2024-11-25,LA,Clothing,Jeans,1,62.99,62.99,392
1457,2025-10-15,LA,Electronics,Laptop,1,774.99,774.99,210
2976,2024-12-13,LA,Clothing,Jacket,2,120.28,240.56,329
2005,2025-11-02,NY,Clothing,Jeans,1,57.58,57.58,431
435,2024-09-26,SF,Home,Lamp,2,28.82,57.64,116
759,2024-12-15,NY,Home,Blender,5,46.08,230.4,268
374,2025-11-26,LA,Home,Blender,2,45.24,90.48,254
2674,2025-12-23,SF,Home,Cookware Set,3,88.63,265.89,284
1580,2025-02-18,NY,Electronics,Laptop,1,950.24,950.24,83
1390,2025-12-27,NY,Toys,Action Figure,1,10.43,10.43,28
1296,2025-12-17,CHI,Home,Cookware Set,5,93.79,468.95,135
366,2024-02-23,SF,Electronics,Laptop,2,944.42,1888.84,372
873,2024-07-04,CHI,Grocery,Coffee Beans,5,13.75,68.75,218
1166,2025-12-26,LA,Electronics,Phone Case,3,15.16,45.48,267
2846,2025-12-09,LA,Clothing,Jacket,2,115.4,230.8,193
37,2025-07-30,NY,Home,Blender,2,38.38,76.76,276
2563,2025-12-07,SF,Clothing,T-Shirt,3,22.16,66.48,323
2312,2025-08-15,CHI,Grocery,Coffee Beans,3,13.85,41.55,341
2831,2025-11-15,CHI,Grocery,Coffee Beans,1,15.22,15.22,283
2828,2025-11-20,SF,Electronics,Headphones,2,43.58,87.16,402
2203,2025-12-13,LA,Home,Blender,1,45.45,45.45,496
527,2025-12-15,LA,Clothing,Jacket,5,121.1,605.5,464
2301,2025-07-07,NY,Clothing,Jeans,2,47.59,95.18,46
2264,2024-12-01,CHI,Grocery,Coffee Beans,3,12.53,37.59,321
2927,2025-11-14,SF,Clothing,Jeans,2,48.64,97.28,71
1552,2025-08-04,NY,Home,Cookware Set,1,81.19,81.19,290
1192,2024-03-17,SF,Home,Lamp,2,26.66,53.32,196
2441,2024-11-10,SF,Clothing,Jacket,3,108.98,326.94,442
2159,2024-11-13,NY,Grocery,Olive Oil,3,24.14,72.42,314
583,2025-12-21,NY,Toys,Action Figure,2,12.31,24.62,471
533,2024-11-26,SF,Clothing,T-Shirt,1,19.76,19.76,286
2378,2025-11-18,CHI,Electronics,Headphones,2,40.1,80.2,367
2481,2024-08-09,LA,Electronics,Headphones,1,37.55,37.55,471
242,2024-12-26,CHI,Grocery,Snack Box,1,9.7,9.7,266
1609,2024-12-25,CHI,Toys,Board Game,1,28.18,28.18,336
248,2025-11-02,NY,Toys,Board Game,3,25.18,75.54,98
262,2024-10-23,NY,Toys,Board Game,5,28.27,141.35,153
442,2024-10-09,NY,Toys,Puzzle,1,17.45,17.45,403
1975,2025-11-05,SF,Toys,Board Game,1,23.89,23.89,31
2088,2025-10-01,CHI,Clothing,Jacket,2,124.9,249.8,370
2613,2025-07-05,NY,Clothing,T-Shirt,1,21.34,21.34,23
468,2024-04-30,NY,Home,Lamp,1,27.85,27.85,242
2127,2024-08-08,LA,Toys,Board Game,3,22.53,67.59,38
1691,2025-11-08,LA,Clothing,T-Shirt,3,20.96,62.88,129
950,2024-02-14,CHI,Home,Cookware Set,1,89.03,89.03,167
1607,2024-04-18,SF,Grocery,Olive Oil,1,20.81,20.81,258
1869,2025-06-08,LA,Electronics,Laptop,2,927.91,1855.82,95
1184,2025-11-13,CHI,Grocery,Coffee Beans,1,12.32,12.32,33
2620,2024-12-01,CHI,Grocery,Olive Oil,1,20.31,20.31,327
1458,2025-09-16,NY,Electronics,Phone Case,1,16.97,16.97,226
1407,2025-11-04,LA,Clothing,Jacket,1,102.78,102.78,88
2232,2024-12-19,NY,Toys,Board Game,2,22.78,45.56,273
2978,2024-11-17,LA,Electronics,Headphones,2,43.6,87.2,431
250,2024-03-04,LA,Grocery,Snack Box,4,11.26,45.04,288
2026,2025-09-27,NY,Clothing,Jacket,3,136.02,408.06,33
1381,2025-01-08,SF,Home,Cookware Set,2,78.81,157.62,155
2213,2025-12-14,NY,Electronics,Phone Case,,13.95,41.85,146
571,2025-11-23,NY,Clothing,T-Shirt,4,18.7,74.8,296
1983,2024-03-22,SF,Toys,Board Game,2,28.19,56.38,316
2938,2024-12-11,SF,Electronics,Headphones,1,41.15,41.15,247
1804,2025-09-30,CHI,Clothing,T-Shirt,1,18.85,18.85,244
2388,2024-10-28,CHI,Grocery,Coffee Beans,2,13.71,27.42,274
994,2025-11-17,SF,Toys,Board Game,1,27.86,27.86,110
953,2024-10-18,LA,Electronics,Headphones,3,35.96,107.88,62
1610,2025-10-30,CHI,Clothing,Jacket,1,134.66,134.66,211
1645,2025-11-07,NY,Electronics,Laptop,1,946.7,946.7,391
1556,2024-12-09,NY,Clothing,Jeans,1,61.33,61.33,251
2226,2025-12-07,LA,Grocery,Snack Box,2,9.97,19.94,217
959,2024-04-20,CHI,Electronics,Phone Case,1,13.09,13.09,49
2936,2025-07-26,SF,Clothing,Jeans,1,60.64,60.64,353
1344,2024-11-23,SF,Home,Lamp,1,26.81,26.81,110
1544,2025-12-09,NY,Home,Blender,2,46.99,93.98,498
1494,2025-07-25,NY,Electronics,Phone Case,1,16.32,16.32,486
404,2025-12-27,NY,Clothing,Jeans,2,52.89,105.78,12
743,2024-06-11,CHI,Grocery,Olive Oil,1,20.27,20.27,34
2670,2024-04-08,LA,Grocery,Coffee Beans,1,14.42,14.42,274
2788,2024-11-20,NY,Clothing,T-Shirt,2,19.07,38.14,396
1917,2025-08-22,SF,Grocery,Coffee Beans,2,12.37,24.74,451
1042,2024-11-26,CHI,Toys,Puzzle,2,18.93,37.86,433
446,2025-05-01,SF,Toys,Action Figure,1,12.69,12.69,11
2781,2025-02-26,CHI,Home,Blender,1,42.62,42.62,165
2656,2025-07-06,LA,Grocery,Coffee Beans,1,15.13,15.13,448
894,2024-11-15,NY,Electronics,Phone Case,1,13.85,13.85,467
725,2024-02-08,NY,Grocery,Olive Oil,1,19.86,19.86,228
1836,2024-06-01,NY,Clothing,Jeans,4,53.04,212.16,223
1848,2024-12-25,LA,Toys,Action Figure,4,12.37,49.48,406
2172,2025-11-28,CHI,Home,Cookware Set,5,73.5,367.5,151
832,2024-06-03,NY,Clothing,Jeans,1,48.6,48.6,151
1472,2025-12-08,LA,Grocery,Coffee Beans,2,15.74,31.48,474
2899,2024-01-27,CHI,Toys,Board Game,1,27.98,27.98,62
2314,2024-02-15,LA,Electronics,Phone Case,1,14.66,14.66,91
2782,2025-08-18,SF,Toys,Puzzle,1,18.58,18.58,442
1203,2024-02-24,SF,Clothing,T-Shirt,3,19.27,57.81,363
2091,2025-10-14,NY,Electronics,Headphones,3,37.87,113.61,353
2588,2025-05-02,CHI,Grocery,Olive Oil,5,23.52,117.6,165
2533,2024-12-03,CHI,Electronics,Phone Case,2,16.2,32.4,140
386,2024-12-13,LA,Grocery,Coffee Beans,4,12.08,48.32,92
1099,2025-11-05,LA,Grocery,Snack Box,1,9.8,9.8,358
1719,2025-09-10,CHI,Clothing,Jeans,3,56.32,168.96,368
701,2024-12-09,LA,Grocery,Olive Oil,1,18.99,18.99,84
2343,2025-06-02,NY,Home,Lamp,1,34.18,34.18,218
1428,2025-12-21,SF,Clothing,Jeans,1,61.97,61.97,35
538,2025-11-24,SF,Grocery,Olive Oil,1,25.04,25.04,491
1928,2025-08-26,LA,Toys,Action Figure,3,12.93,38.79,241
81,2025-04-15,CHI,Toys,Board Game,1,24.5,24.5,91
2802,2024-10-03,SF,Toys,Puzzle,4,17.69,70.76,243
1237,2024-12-25,SF,Toys,Board Game,1,25.25,25.25,459
2330,2025-07-13,NY,Grocery,Snack Box,2,10.76,21.52,444
1821,2024-08-30,NY,Electronics,Headphones,1,38.48,38.48,5
201,2025-11-17,SF,Toys,Board Game,1,25.86,25.86,35
1840,2024-08-28,CHI,Home,Cookware Set,1,84.41,84.41,412
1506,2025-11-24,NY,Clothing,Jacket,5,105.97,529.85,411
1647,2024-12-26,LA,Grocery,Coffee Beans,1,14.3,14.3,437
1288,2025-11-07,LA,Clothing,T-Shirt,1,21.09,21.09,394
2196,2025-11-12,NY,Grocery,Olive Oil,1,23.2,23.2,357
2422,2024-01-10,SF,Toys,Board Game,1,22.79,22.79,462
2535,2024-11-26,LA,Home,Lamp,1,30.42,30.42,10
2806,2024-12-26,CHI,Toys,Puzzle,2,19.37,38.74,432
531,2025-11-17,LA,Grocery,Snack Box,1,8.52,8.52,443
2661,2025-12-18,SF,Home,Lamp,2,28.14,56.28,222
1452,2025-11-25,SF,Electronics,Headphones,5,40.64,203.2,440
2051,2024-11-19,NY,Electronics,Phone Case,1,13.07,13.07,334
165,2025-11-12,CHI,Toys,Puzzle,2,17.59,35.18,57
2252,2024-08-29,NY,Electronics,Headphones,5,34.21,171.05,418
535,2024-01-07,NY,Home,Blender,1,43.51,43.51,388
2805,2024-11-10,NY,Clothing,Jeans,3,61.01,183.03,158
768,2025-05-22,CHI,Electronics,Headphones,3,41.15,123.45,395
2942,2025-10-29,SF,Toys,Board Game,2,25.32,50.64,450
365,2025-12-03,SF,Toys,Board Game,4,28.72,114.88,129
1382,2025-09-02,SF,Home,Cookware Set,4,92.0,368.0,352
2921,2024-11-01,CHI,Clothing,Jacket,1,124.29,124.29,48
1180,2025-01-19,NY,Home,Cookware Set,1,87.45,87.45,399
2746,2025-07-10,NY,Clothing,T-Shirt,1,20.43,20.43,174
1779,2025-11-08,CHI,Toys,Board Game,1,22.09,22.09,316
1805,2025-11-06,CHI,Home,Cookware Set,1,76.72,76.72,61
496,2025-07-25,NY,Home,Cookware Set,1,89.5,89.5,6
2048,2024-05-07,SF,Grocery,Olive Oil,2,20.48,40.96,332
2486,2025-04-16,LA,Clothing,Jacket,5,136.76,683.8,456
975,2025-11-20,SF,Home,Cookware Set,5,90.39,451.95,408
639,2024-07-10,SF,Home,Cookware Set,1,90.02,90.02,375
1282,2024-12-09,NY,Home,Blender,1,39.66,39.66,123
2737,2024-02-27,CHI,Electronics,Laptop,1,969.65,969.65,354
2234,2025-01-06,,Clothing,Jeans,1,54.67,54.67,248
2565,2025-03-19,CHI,Clothing,T-Shirt,1,17.26,17.26,476
2732,2025-01-02,LA,Toys,Board Game,2,25.36,50.72,375
1073,2025-10-22,SF,Grocery,Coffee Beans,1,12.6,12.6,256
383,2024-11-24,SF,Toys,Action Figure,3,12.08,36.24,376
1009,2024-12-11,CHI,Toys,Puzzle,2,16.97,33.94,244
2037,2024-01-27,SF,Toys,Action Figure,2,12.86,25.72,95
2062,2024-11-25,LA,Electronics,Phone Case,1,17.06,17.06,322
2996,2025-07-20,CHI,Grocery,Snack Box,1,10.14,10.14,285
1675,2025-03-30,LA,Toys,Board Game,1,27.51,27.51,195
162,2025-11-03,LA,Electronics,Headphones,2,44.44,88.88,193
2706,2025-12-24,NY,Toys,Action Figure,1,12.31,12.31,387
2079,2024-06-11,NY,Toys,Board Game,3,26.41,79.23,88
2147,2024-02-01,LA,Toys,Puzzle,3,15.94,47.82,384
1225,2024-09-10,LA,Home,Lamp,3,29.87,89.61,128
2363,2024-11-11,LA,Clothing,T-Shirt,3,18.53,55.59,137
2352,2025-02-22,LA,Electronics,Laptop,5,885.45,4427.25,327
127,2025-11-30,,Clothing,T-Shirt,1,20.66,20.66,255
1293,2024-09-21,SF,Electronics,Headphones,3,36.15,108.45,391
443,2025-11-04,NY,Grocery,Snack Box,2,10.07,20.14,403
1769,2024-08-14,NY,Clothing,T-Shirt,1,19.74,19.74,366
1334,2025-12-04,LA,Home,Lamp,2,29.86,59.72,311
1526,2024-11-26,SF,Home,Cookware Set,2,94.93,189.86,266
1478,2024-12-19,NY,Toys,Puzzle,3,18.31,54.93,370
2191,2025-07-11,CHI,Toys,Board Game,1,23.93,23.93,245
2064,2024-11-09,CHI,Home,Blender,1,44.74,44.74,129
834,2024-08-25,SF,Electronics,Laptop,1,816.05,816.05,211
2318,2024-09-28,CHI,Grocery,Olive Oil,1,21.23,21.23,14
785,2025-12-05,NY,Electronics,Headphones,3,34.84,104.52,478
2406,2024-12-01,LA,Electronics,Laptop,2,1019.6,2039.2,433
452,2025-01-04,SF,Electronics,Headphones,1,34.4,34.4,189
397,2024-12-28,SF,Grocery,Snack Box,2,8.69,17.38,475
891,2025-11-23,SF,Home,Lamp,1,30.82,30.82,393
90,2025-06-21,NY,Toys,Action Figure,5,12.81,64.05,427
2050,2024-11-08,LA,Clothing,Jacket,5,122.89,614.45,382
2405,2025-12-01,CHI,Home,Cookware Set,1,83.79,83.79,34
2864,2024-03-19,NY,Home,Lamp,2,27.79,55.58,124
2046,2024-07-11,LA,Electronics,Phone Case,1,15.1,15.1,31
578,2024-05-28,CHI,Toys,Puzzle,1,15.33,15.33,46
707,2024-11-06,SF,Grocery,Snack Box,4,9.4,37.6,313
2023,2024-10-03,NY,Clothing,T-Shirt,3,21.67,65.01,392
273,2025-11-06,SF,Grocery,Coffee Beans,2,12.16,24.32,438
1857,2024-01-27,SF,Clothing,Jeans,1,60.47,60.47,203
2469,2025-11-29,NY,Electronics,Laptop,1,833.44,833.44,177
1270,2024-01-18,CHI,Electronics,Headphones,1,38.34,38.34,491
1331,2024-04-13,NY,Toys,Action Figure,1,13.49,13.49,212
441,2025-12-11,NY,Toys,Board Game,2,28.66,57.32,45
