passenger_id,pclass,sex,age,fare,sibsp,survived
196,1,female,45.3,81.96,0,1
197,2,male,56.4,39.4,0,0
198,3,female,36.3,22.29,0,1
199,3,male,27.3,31.91,0,0
200,1,female,40.5,99.39,1,1
201,1,female,22.6,87.88,3,1
202,2,male,36.8,24.27,0,0
203,1,female,35.0,74.72,0,1
204,2,female,74.6,35.68,1,0
205,1,female,19.1,76.43,0,0
206,2,female,48.1,22.58,0,1
207,3,female,17.1,31.26,2,1
208,3,male,7.9,29.99,0,0
209,1,female,36.2,97.32,0,1
210,1,male,,95.24,3,0
211,3,female,25.0,15.91,1,1
212,2,female,33.5,35.65,0,0
213,3,female,23.8,18.63,2,1
214,3,male,31.4,10.32,0,0
215,1,male,,102.92,0,1
216,2,female,36.7,27.18,0,1
217,2,female,21.7,22.79,1,1
218,3,male,34.7,20.11,0,0
219,2,female,35.7,16.99,0,1
220,1,female,48.5,83.25,0,1
221,3,female,14.0,5.0,0,0
222,3,male,35.9,5.0,1,1
223,2,female,41.8,30.44,0,1
224,2,female,,34.8,0,1
225,1,female,21.0,93.17,0,1
226,3,male,28.1,8.92,0,0
227,1,female,44.4,85.9,0,1
228,2,female,41.8,27.04,2,1
229,2,male,35.2,40.54,1,0
230,2,male,,15.87,1,0
231,2,female,24.7,52.84,2,1
232,3,female,39.9,25.45,0,1
233,3,female,32.6,22.11,1,1
234,1,male,20.9,86.86,0,0
235,3,male,4.5,5.0,3,1
236,2,male,20.4,46.94,1,0
237,3,male,39.5,29.62,0,0
238,2,female,28.9,6.46,0,1
239,2,female,21.8,24.33,0,1
240,1,male,40.7,90.7,1,1
241,1,male,32.2,76.37,0,1
242,3,female,26.7,5.0,1,1
243,2,male,43.5,5.0,0,0
244,3,male,41.3,5.0,0,0
245,3,female,29.9,14.29,0,0
246,3,female,23.4,5.0,1,1
247,3,male,50.1,19.14,0,1
248,2,male,36.1,24.7,0,1
249,3,male,20.6,21.21,1,0
250,2,female,11.4,7.78,3,1
251,3,male,31.4,5.0,0,1
252,3,female,21.9,12.56,0,1
253,3,female,21.1,5.0,0,1
254,2,female,,26.73,2,1
255,1,female,0.5,85.34,0,1
256,2,female,33.9,10.89,0,1
257,3,male,23.4,46.95,2,0
258,2,male,27.6,15.79,0,1
259,1,female,14.2,99.45,0,1
260,1,female,,79.43,0,1
261,3,male,8.6,27.99,1,0
262,3,female,42.5,7.33,1,1
263,3,female,20.1,7.0,0,1
264,3,male,15.8,28.07,0,0
265,3,female,39.5,19.55,1,1
266,3,male,,5.0,0,1
267,2,female,45.5,26.05,0,1
268,3,male,37.1,41.67,0,0
269,1,male,0.5,96.35,0,1
270,3,female,25.9,34.31,2,1
271,1,female,36.9,79.44,1,1
272,3,female,7.2,5.0,2,1
273,3,male,,30.79,1,0
274,3,female,21.4,19.19,1,1
275,3,female,18.4,5.0,0,1
276,3,female,,21.22,1,1
277,3,male,6.0,29.4,0,0
278,2,female,39.9,6.68,2,0
279,3,male,34.1,11.78,2,0
280,2,male,12.4,30.29,2,1
281,2,male,44.9,33.51,1,0
282,1,male,43.7,59.66,0,0
283,3,female,,17.15,0,1
284,3,male,35.6,18.39,0,0
285,3,male,66.4,31.45,0,0
286,3,male,35.8,33.07,0,1
287,2,female,21.2,16.18,1,1
288,1,female,23.6,64.23,0,1
289,3,male,23.2,19.73,3,0
290,3,female,23.7,26.28,0,1
291,2,male,16.0,33.97,0,0
292,2,male,,44.65,0,0
293,2,male,22.1,10.2,2,0
294,3,male,24.2,13.74,0,0
295,2,male,,47.28,1,1
296,2,female,37.4,18.02,0,1
297,3,male,14.2,5.0,0,0
298,1,female,13.2,97.05,1,1
299,3,male,48.6,15.09,0,0
300,2,female,19.9,7.02,3,0
301,3,female,,5.0,1,0
302,1,male,12.4,92.74,0,0
303,1,female,37.7,91.76,1,1
304,1,male,12.5,62.76,0,0
305,3,male,40.5,23.52,0,0
306,3,male,41.9,14.11,0,0
307,1,male,23.7,96.92,0,0
308,1,female,17.4,79.04,1,1
309,2,female,32.1,41.11,0,1
310,3,female,,5.0,3,1
311,2,male,52.7,5.0,0,1
312,1,male,26.8,56.43,0,1
313,1,female,17.6,117.07,1,1
314,1,female,38.6,85.51,0,0
315,2,male,12.4,5.0,2,0
316,3,male,19.7,19.79,1,0
317,2,female,15.9,27.05,0,1
318,1,male,44.9,86.95,0,1
319,1,female,,89.39,0,1
320,3,male,43.3,12.86,3,1
321,3,male,,27.14,0,0
322,3,male,22.5,28.15,0,0
323,1,female,28.9,91.9,1,1
324,3,female,24.3,34.07,0,0
325,3,female,18.4,37.3,1,1
326,1,male,47.7,86.23,0,0
327,3,female,50.4,5.0,0,1
328,3,female,,5.0,2,1
329,3,female,29.1,5.0,0,1
330,1,female,28.5,74.25,0,1
331,3,male,34.3,16.92,0,0
332,3,male,32.5,27.07,0,0
333,1,male,25.5,80.65,0,1
334,3,male,7.6,12.92,0,0
335,1,male,38.3,97.24,0,1
336,1,female,14.8,70.13,0,1
337,3,female,,5.0,3,1
338,3,female,,36.23,0,1
339,1,male,13.0,96.57,0,0
340,3,male,42.0,5.0,0,0
341,3,female,19.6,39.27,0,0
342,3,male,25.0,19.46,3,0
343,3,female,31.1,5.0,0,1
344,3,female,30.7,5.0,2,0
345,3,female,50.2,5.0,0,0
346,3,female,29.0,15.04,0,1
347,2,female,39.9,37.71,0,1
348,2,male,34.8,18.69,2,0
349,3,male,27.3,5.0,1,0
350,3,female,60.0,23.8,0,0
351,1,male,13.5,97.63,2,1
352,3,female,32.8,48.47,0,0
353,3,female,34.3,7.97,0,1
354,3,female,32.5,8.16,1,1
355,1,male,,77.54,2,0
356,3,female,20.2,10.38,0,1
357,2,female,24.9,10.03,0,1
358,2,male,,21.69,0,0
359,2,male,64.5,9.65,2,0
360,3,male,45.1,14.2,0,0
361,3,male,34.4,9.4,0,0
362,1,female,,52.4,0,1
363,3,male,10.7,9.55,1,0
364,1,female,39.4,40.73,1,1
365,2,female,52.9,27.41,0,1
366,3,female,22.0,5.0,0,0
367,1,female,,97.12,1,1
368,1,male,27.9,98.21,0,0
369,1,female,25.0,92.72,1,1
370,3,male,49.9,24.07,0,0
371,2,male,20.0,35.22,2,0
372,2,female,35.0,5.0,0,0
373,2,female,9.8,11.35,0,1
374,1,male,25.2,83.76,2,1
375,1,male,60.4,71.47,0,0
376,1,male,,76.71,0,0
377,3,male,43.6,6.83,0,1
378,2,male,37.1,29.17,0,1
379,2,female,41.3,37.79,0,1
380,3,male,34.5,9.98,0,1
381,2,male,43.7,16.86,0,0
382,3,female,39.0,5.0,0,0
383,3,male,41.2,45.56,3,1
384,3,female,36.9,14.86,0,0
385,1,female,33.7,106.39,0,1
386,2,female,40.9,26.22,0,1
387,3,female,,15.55,0,1
388,3,male,13.9,21.32,0,0
389,3,female,54.2,5.0,2,1
390,3,male,26.9,20.92,1,0
391,3,female,39.8,8.03,0,0
392,2,male,0.5,25.59,0,1
393,1,male,,99.46,1,1
394,1,male,9.1,82.45,3,1
395,2,female,,14.57,1,0
396,2,male,14.2,24.61,0,0
397,2,male,22.2,52.84,0,0
398,1,female,41.7,56.64,3,0
399,3,male,22.9,5.0,1,1
400,3,female,30.2,45.65,0,1
401,2,male,5.3,5.0,2,0
402,1,male,59.7,107.01,2,1
403,1,male,31.1,36.58,1,1
404,3,female,45.1,5.0,1,0
405,3,male,18.5,5.0,0,0
406,1,female,,69.63,1,1
407,3,male,24.5,22.96,0,0
408,3,male,13.5,42.02,2,0
409,3,male,52.5,5.97,0,0
410,3,male,56.2,18.59,0,0
411,3,female,34.8,30.78,0,1
412,1,female,18.5,94.48,2,1
413,2,female,30.5,41.93,3,1
414,2,male,30.4,5.97,1,0
415,3,female,0.5,5.0,0,1
416,3,female,39.4,27.39,0,0
417,3,female,31.1,5.0,1,1
418,2,female,,30.87,2,1
419,1,female,23.9,64.88,0,1
420,3,male,12.4,24.43,1,0
421,1,male,32.2,83.64,0,1
422,1,female,22.5,81.39,3,1
423,2,male,12.9,64.42,0,1
424,1,male,,79.15,0,0
425,2,male,,9.2,0,0
426,2,female,18.7,14.16,0,0
427,2,male,40.2,13.66,0,0
428,3,male,12.0,24.99,1,1
429,3,male,17.4,5.0,0,0
430,1,male,0.5,69.79,0,1
431,1,female,30.1,68.43,1,1
432,2,male,39.2,56.28,0,0
433,3,male,14.5,24.65,1,0
434,3,male,28.8,35.44,0,0
435,3,female,31.4,5.0,1,0
436,2,male,12.9,21.9,0,0
437,3,male,22.8,38.35,0,1
438,3,male,,5.0,0,0
439,2,male,39.5,30.78,1,0
440,3,female,27.0,25.98,0,1
441,2,male,36.2,35.41,2,0
442,1,female,33.4,84.28,1,1
443,2,male,27.9,21.63,1,0
444,1,male,25.0,67.08,2,1
445,2,female,5.1,34.8,0,1
446,3,female,32.3,32.55,0,0
447,2,female,5.2,36.79,2,1
448,1,female,26.4,69.92,2,1
449,1,female,,103.67,0,1
450,1,male,11.2,74.67,0,1
451,2,male,,7.43,0,1
452,1,male,34.0,90.71,1,0
453,2,male,24.6,43.68,0,0
454,1,female,28.8,82.71,0,1
455,2,female,37.9,11.1,0,1
456,3,male,14.3,5.0,1,0
457,2,female,13.3,24.56,0,1
458,3,male,,15.14,0,1
459,3,male,27.0,21.53,2,0
460,3,male,,5.0,0,0
461,3,male,52.1,5.0,0,0
462,3,male,17.0,10.8,2,0
463,3,female,31.3,11.9,0,1
464,3,female,0.5,5.0,0,1
465,3,male,,26.84,2,0
466,1,female,16.8,76.32,0,1
467,1,female,23.6,71.32,0,1
468,2,male,23.0,22.5,1,1
469,3,male,29.3,6.86,0,0
470,1,female,37.2,81.67,0,0
471,2,female,33.2,16.55,1,1
472,3,female,16.3,6.3,1,1
473,3,female,0.5,13.21,0,1
474,3,male,37.2,15.88,0,0
475,3,male,,9.17,1,0
476,3,male,44.2,18.31,0,0
477,1,female,42.4,78.45,0,1
478,3,male,36.0,28.0,0,0
479,3,female,,34.38,0,0
480,1,female,2.6,85.81,1,1
481,3,male,53.8,20.93,0,1
482,1,female,38.8,69.74,0,1
483,3,male,32.3,9.92,0,0
484,1,female,,100.43,0,1
485,3,female,39.7,27.7,0,1
486,2,female,22.1,18.49,0,1
487,3,male,15.4,23.75,2,1
488,2,male,13.8,41.91,2,1
489,2,female,29.0,5.0,1,0
490,1,female,43.4,59.61,0,0
491,3,male,16.6,27.59,3,0
492,3,male,55.8,11.82,1,0
493,1,female,22.2,76.88,1,1
494,3,female,,30.39,0,1
495,3,male,27.9,26.27,1,1
496,3,female,17.1,7.23,0,1
497,1,female,22.2,125.67,1,1
498,3,female,6.7,14.78,2,0
499,2,female,19.3,32.8,1,1
500,3,female,,5.0,0,0
501,1,female,21.4,84.91,1,1
502,3,male,34.9,14.44,0,0
503,3,male,2.7,5.0,0,1
504,3,female,29.4,15.66,0,1
505,3,female,8.2,5.0,0,1
506,3,male,42.3,5.0,0,0
507,3,male,23.4,37.19,1,0
508,1,male,,100.28,0,1
509,1,female,,65.86,3,1
510,2,male,3.7,24.02,0,0
511,2,female,15.9,26.79,3,1
512,2,female,25.5,17.29,0,1
513,3,male,18.0,16.29,0,0
514,1,female,41.1,68.67,0,1
515,3,male,48.3,20.86,0,0
516,3,female,40.6,6.66,0,0
517,1,female,19.9,66.2,2,1
518,1,female,16.4,69.77,0,0
519,1,male,57.4,95.16,2,0
520,2,male,49.5,9.78,0,0
521,1,male,55.6,70.73,0,0
522,2,female,28.1,5.0,0,1
523,3,male,,13.71,0,1
524,3,male,20.8,5.0,0,1
525,3,male,,28.89,0,0
526,3,male,55.4,5.0,0,0
527,2,female,15.5,41.14,0,1
528,3,male,,5.0,0,0
529,2,female,49.2,40.87,2,1
530,2,female,41.5,41.67,2,1
531,2,male,33.3,55.4,0,0
532,1,female,18.9,85.53,1,1
533,3,male,24.8,20.68,0,1
534,3,male,44.3,13.56,0,0
535,1,female,6.3,111.96,0,1
536,3,male,46.9,31.38,0,0
537,1,female,,84.66,3,1
538,3,male,30.0,5.0,0,0
539,3,female,,9.09,0,0
540,3,male,,5.0,0,1
541,1,female,40.7,76.71,0,1
542,3,female,31.3,5.0,1,0
543,1,male,53.2,97.19,0,1
544,3,male,21.8,5.0,0,1
545,2,female,26.0,18.64,0,1
546,3,male,70.3,12.83,1,0
547,1,male,37.7,78.64,1,0
548,3,female,,18.18,0,0
549,3,male,,22.04,0,0
550,3,male,14.7,18.39,0,0
551,2,male,26.0,12.06,0,1
552,1,female,,82.98,0,1
553,3,male,41.0,14.47,0,0
554,1,male,36.3,67.54,0,1
555,1,male,31.7,103.89,1,1
556,1,female,31.7,55.66,0,1
557,2,male,31.9,13.75,1,0
558,3,male,36.9,8.51,3,1
559,3,female,24.1,27.33,1,0
560,1,male,40.1,66.59,0,1
561,2,female,46.6,17.88,1,1
562,1,male,23.6,89.08,0,1
563,2,male,14.4,36.39,0,1
564,3,female,15.4,12.79,0,1
565,2,female,31.6,27.43,0,1
566,3,female,13.0,18.34,0,1
567,3,male,16.2,12.58,1,0
568,3,male,46.7,5.0,1,0
569,3,male,3.4,7.62,2,1
570,3,male,4.1,5.0,0,0
571,2,male,38.2,41.59,0,0
572,2,male,18.8,54.12,0,1
573,3,male,30.9,5.0,0,0
574,3,female,,5.0,0,1
575,2,female,53.6,5.0,0,1
576,2,male,38.7,33.6,0,0
577,2,male,59.2,12.26,2,0
578,1,female,9.5,85.39,1,1
579,3,female,35.1,12.8,0,0
580,3,female,29.9,23.14,1,0
581,2,female,,16.73,1,1
582,3,male,17.9,11.3,0,0
583,2,male,51.5,56.78,0,1
584,3,male,52.9,5.0,1,0
585,3,female,26.0,5.0,1,1
586,1,male,0.5,82.41,3,1
587,3,male,24.4,5.0,1,1
588,3,male,34.1,5.0,0,0
589,3,male,29.9,12.82,0,0
590,1,female,10.4,91.68,2,1
591,1,male,11.4,64.62,1,1
592,2,female,26.6,20.71,1,0
593,3,male,41.7,5.0,1,0
594,2,female,,10.92,2,1
595,2,female,38.5,6.64,3,1
596,3,male,44.6,11.04,2,0
597,1,female,,117.65,0,1
598,3,female,,26.13,0,1
599,2,male,8.5,59.92,0,1
600,1,female,19.5,110.22,0,1
